system	hard_min_bp	hard_max_bp	score_min_bp	score_max_bp	status	notes
trichoderma	NA	NA	NA	NA	placeholder	replace with intended hard window and broader score range
salmon	NA	NA	NA	NA	placeholder	replace with intended hard window and broader score range
